iter	PRAUC:type=Classic	Logloss
0	0.9404793315	0.6627976929
1	0.9573292871	0.6323157415
2	0.9625041184	0.6057930527
3	0.9657064684	0.5815417221
4	0.9660033889	0.5585304083
5	0.9661153974	0.537142854
6	0.9669018012	0.5158953847
7	0.9671557756	0.4973794691
8	0.9679292028	0.4819582924
9	0.9685690094	0.4670365391
10	0.9690874378	0.4502090085
11	0.9696100345	0.4339226991
12	0.9702228157	0.4235442345
13	0.9705119889	0.4118512745
14	0.9712476978	0.4007805641
15	0.9714732075	0.3897770745
16	0.9718658003	0.3805329075
17	0.972035345	0.3720152747
18	0.9720293029	0.3645034696
19	0.9723915499	0.3575652596
20	0.9724297061	0.3501140618
21	0.9725435471	0.343625829
22	0.9729386901	0.3363273499
23	0.9731027395	0.3301680642
24	0.973406485	0.3237025584
25	0.9735665371	0.318278822
26	0.9737418126	0.3130231815
27	0.9739863523	0.3084905099
28	0.9741511545	0.3031041536
29	0.974400347	0.2979059906
30	0.9744644268	0.2938537298
31	0.9749428425	0.2888980338
32	0.9750455311	0.2850849425
33	0.9751476456	0.2821033402
34	0.9753784406	0.2781283687
35	0.9756690609	0.274844012
36	0.9757087755	0.272397602
37	0.9759192782	0.2694196116
38	0.9760166592	0.2667971677
39	0.9763642738	0.263470503
40	0.9764829866	0.2610984518
41	0.9767566388	0.2579389456
42	0.9769788233	0.2549669252
43	0.9771880199	0.2523106757
44	0.9773275182	0.2503525804
45	0.9775282731	0.247908653
46	0.9778000846	0.2461208187
47	0.977913383	0.2443727119
48	0.9780444283	0.2426959339
49	0.9782205901	0.2402768523
50	0.9782788579	0.2390038022
51	0.978396785	0.2369771185
52	0.978603528	0.2353025705
53	0.9788892647	0.2333337097
54	0.9790532964	0.2315970262
55	0.9791937246	0.2301278747
56	0.9794177231	0.2284608676
57	0.9795794357	0.2268309867
58	0.9797926798	0.2253964666
59	0.9798291069	0.2243854003
60	0.9799946232	0.2230667227
61	0.9801366399	0.2216862795
62	0.9802461845	0.2203168633
63	0.9803357552	0.2193054224
64	0.9804495133	0.2182216952
65	0.9806678198	0.2170149961
66	0.9807912576	0.2159774204
67	0.9810199604	0.2145772026
68	0.9811548254	0.213708574
69	0.9812147768	0.2129088847
70	0.9813350792	0.2116764541
71	0.9813961881	0.210845717
72	0.9815555211	0.2095740911
73	0.9816841332	0.208284525
74	0.9817890783	0.2072956655
75	0.98189764	0.2064379282
76	0.9819933226	0.2057343343
