iter	Passed	Remaining
0	68	27205
1	80	15981
2	90	12021
3	101	10084
4	113	8949
5	125	8215
6	136	7663
7	145	7109
8	155	6744
9	164	6396
10	172	6117
11	181	5871
12	190	5660
13	198	5476
14	207	5323
15	215	5174
16	224	5063
17	234	4966
18	242	4860
19	251	4780
20	260	4707
21	269	4622
22	278	4560
23	287	4500
24	295	4436
25	304	4373
26	312	4320
27	321	4272
28	330	4227
29	339	4192
30	348	4147
31	357	4108
32	366	4072
33	375	4037
34	383	3995
35	392	3963
36	401	3935
37	409	3905
38	418	3874
39	427	3844
40	436	3818
41	444	3790
42	453	3766
43	462	3740
44	473	3734
45	485	3733
46	493	3707
47	502	3681
48	510	3655
49	519	3639
50	529	3622
51	539	3612
52	552	3614
53	561	3599
54	572	3593
55	583	3586
56	594	3578
57	606	3577
58	617	3570
59	625	3543
60	633	3519
61	641	3496
62	649	3473
63	656	3449
64	664	3426
65	671	3400
66	678	3374
67	686	3353
68	694	3333
69	702	3311
70	709	3286
71	715	3261
72	722	3236
73	729	3212
74	735	3188
75	742	3164
76	748	3140
77	755	3117
78	761	3095
79	768	3074
80	775	3052
81	781	3030
82	789	3013
83	795	2993
84	802	2974
85	809	2953
86	815	2932
87	821	2912
88	827	2892
89	834	2873
90	840	2853
91	846	2833
92	852	2812
93	857	2791
94	864	2776
95	871	2758
96	877	2739
97	882	2720
98	888	2701
99	894	2683
100	900	2665
101	906	2647
102	911	2628
103	916	2609
104	922	2590
105	926	2570
106	932	2552
107	936	2531
108	940	2510
109	944	2489
110	948	2468
111	951	2447
112	955	2427
113	959	2407
114	963	2388
115	967	2369
116	975	2359
117	981	2346
118	987	2331
119	992	2316
120	997	2300
121	1002	2285
122	1007	2270
123	1013	2256
124	1019	2241
125	1024	2228
126	1030	2215
127	1035	2200
128	1041	2187
129	1047	2176
130	1053	2163
131	1059	2150
132	1065	2139
133	1071	2126
134	1077	2114
135	1085	2106
136	1092	2097
137	1099	2087
138	1108	2080
139	1115	2070
140	1122	2061
141	1129	2051
142	1136	2041
143	1143	2033
144	1151	2024
145	1158	2015
146	1165	2005
147	1172	1996
148	1180	1987
149	1187	1979
150	1194	1969
151	1201	1960
152	1208	1950
153	1215	1941
154	1222	1933
155	1230	1924
156	1237	1915
157	1244	1906
158	1251	1897
159	1258	1888
160	1266	1879
161	1273	1870
162	1279	1860
163	1286	1851
164	1293	1842
165	1300	1833
166	1308	1825
167	1316	1817
168	1323	1809
169	1330	1800
170	1338	1792
171	1345	1784
172	1352	1775
